date_,wp,rsi_old,rsi
20150826,169.7655,-5.1427,-5.458556708177035
20150827,174.388,-2.6828,-3.4136419832028153
20150828,175.0945,-2.3225,-3.2237663910750527
20150831,174.022,-2.8173,-3.821911599253788
20150901,169.0982,-4.984,-6.240959444027105
20150902,171.1965,-3.9182,-5.678520842974891
20150903,172.3965,-3.3212,-4.962513323369237
20150904,169.4368,-4.5744,-6.072084242724564
20150908,173.1632,-2.7725,-4.766373546813007
20150909,172.2548,-3.1534,-5.111161419457687
20150910,172.2095,-3.1724,-4.320064585818756
20150911,172.5655,-3.0016,-4.862463893046048
20150914,172.486,-3.0356,-4.939715053187797
20150915,174.1168,-2.2515,-4.321251154431643
20150916,175.7045,-1.5027,-3.9107175538793157
20150917,176.2548,-1.2457,-3.8771256154558955
20150918,173.208,-2.5698,-4.922925195689743
20150921,173.6682,-2.3528,-4.627646977028178
20150922,171.2387,-3.3788,-5.414725792035668
20150923,171.2438,-3.3764,-4.8148334667494055
20150924,170.1512,-3.8324,-5.905223265908759
20150925,170.746,-3.5444,-6.0622974023428
20150928,167.0,-5.0737,-6.831205174460685
20150929,166.4072,-5.3088,-6.6192857738539175
20150930,168.9588,-4.0781,-5.608710233421107
20151001,169.4145,-3.8619,-6.5474887407287525
20151002,171.117,-3.0613,-5.56682956571364
20151005,175.0478,-1.2837,-3.4511193156291853
20151006,174.9502,-1.3245,-3.6711035638311245
20151007,175.9558,-0.88,-3.862928490529768
20151008,177.3722,-0.2606,-3.4105939196262085
20151009,177.94,-0.0141,-3.395008989038651
20151012,178.0592,0.0379,-3.395925600103361
20151013,177.427,-0.2391,-3.613735874318465
20151014,176.444,-0.668,-4.0953696781727515
20151015,178.296,0.1497,-3.225622046745464
20151016,179.3883,0.6244,-2.1265884197140466
20151019,179.4958,0.6711,-2.504504048512196
20151020,179.5903,0.7125,-2.4734222908144474
20151021,178.8238,0.3662,-2.463393233214717
20151022,180.7505,1.2121,-1.7126454023930648
20151023,183.2843,2.292,-0.6232136837790421
20151026,182.998,2.1603,-0.9733741432232321
20151027,182.5548,1.9555,-0.6445491331967403
20151028,184.1108,2.6151,0.2022991461312884
20151029,184.5635,2.8055,0.7074475999921006
20151030,184.118,2.5954,0.6590810919822374
20151102,185.557,3.2029,0.4698774413084621
20151103,186.3985,3.5544,0.45704577694942117
