date_,wp,rsi_old,rsi
20061215,114.355,10.3992,18.700564209307554
20061218,114.0815,9.9746,17.979833597783035
20061219,114.0142,9.8701,17.854887600891587
20061220,114.1632,10.026,17.286662508736107
20061221,113.7625,9.3989,16.773090131206807
20061222,113.1428,8.4452,16.219145487586346
20061226,113.4638,8.7913,15.828484718431397
20061227,114.273,9.6474,16.572873176052823
20061228,114.2032,9.5397,16.27641850832812
20061229,113.8025,8.9224,16.21324627069135
20070103,113.606,8.6213,16.284159628418053
20070104,113.566,8.5598,16.643290140503602
20070105,112.9462,7.6136,15.644532139716482
20070108,113.1705,7.8624,16.250480622677195
20070109,113.2,7.8953,15.948760275070072
20070110,113.3468,8.0595,15.149535963762851
20070111,114.054,8.8413,14.953451805492847
20070112,114.743,9.5827,15.372614862626719
20070116,114.8055,9.6493,15.073677902282334
20070117,114.838,9.6842,15.582807499743204
20070118,114.517,9.1737,14.93852023636068
20070119,114.6315,9.2991,15.59670006454261
20070122,114.34,8.8343,15.144085964462974
20070123,114.5295,9.0451,15.22124718318642
20070124,115.3482,9.9404,15.68419185879059
20070125,114.4698,8.5531,13.917549006439195
20070126,114.076,7.946,12.977433555827368
20070129,114.0915,7.9633,13.028162401674358
20070130,114.4848,8.4027,12.943095454244677
20070131,115.1815,9.1664,13.414610887588125
20070201,115.9382,9.9728,15.609632140826292
20070202,116.1748,10.2207,16.84950915674471
20070205,116.1848,10.2313,16.647452908065034
20070206,116.2198,10.2684,16.661963510265856
20070207,116.4612,10.5255,15.997373045451532
20070208,116.2718,10.2167,15.037868690731827
20070209,115.7068,9.3055,13.953862496047194
20070212,115.2118,8.5218,13.244558981114892
20070213,115.9805,9.3642,13.980368230736751
20070214,116.757,10.1891,15.30297464597146
20070215,116.9765,10.4185,14.912966171943324
20070216,116.8692,10.2471,15.428983032798016
20070220,116.847,10.2113,16.284015061281387
20070221,117.0585,10.437,15.836119269997162
20070222,117.0482,10.4202,14.988130658924206
20070223,116.6128,9.709,13.80696320648876
20070226,116.5955,9.6809,13.805874285667706
20070227,112.799,4.0274,7.357318524231012
20070228,113.1052,4.3795,8.401119923854083
20070301,112.4308,3.4684,7.161429781637942
20070302,111.6962,2.5008,4.956959645514743
20070305,110.686,1.2133,3.298199441697051
20070306,111.8288,2.5431,4.515502369759631
20070307,112.167,2.9267,4.759092518593178
20070308,112.9212,3.7685,5.441260591427387
20070309,112.986,3.84,5.752076744864979
20070312,113.0705,3.934,4.867553156771024
20070313,111.4352,1.869,2.2797385879887315
20070314,111.2958,1.6984,1.8482741007660692
20070315,111.9085,2.393,3.07363406274019
20070316,111.3232,1.6761,1.9711021602760326
20070319,112.2318,2.6912,3.0076832486238487
20070320,112.9685,3.4914,3.7655229769643626
20070321,114.5965,5.1836,5.032846036587117
20070322,114.9502,5.5386,4.9945252944546965
20070323,115.1293,5.7179,4.831849593436473
20070326,114.8082,5.3138,4.045645684372921
20070327,114.644,5.1073,4.403479522599014
20070328,113.8395,4.1076,3.651694840122964
20070329,113.9222,4.1939,3.776626732629353
20070330,113.8575,4.1135,4.2794739341498484
20070402,113.912,4.1713,4.8056296885389
20070403,115.2438,5.5543,6.360516214728214
20070404,115.3432,5.6553,5.384661827237686
20070405,115.6842,6.0014,5.1667329038903915
20070409,115.943,6.263,5.558145518078497
20070410,116.0505,6.3719,5.723379755130942
20070411,115.6795,5.887,5.473659658963172
20070412,115.908,6.1218,5.373933535425039
20070413,116.446,6.6704,5.326447606198506
20070416,117.6058,7.8187,5.91301199725082
20070417,118.0492,8.2461,6.165547536473788
20070418,118.161,8.3536,6.244828753901807
20070419,118.0515,8.2054,5.977116828080703
20070420,118.9802,9.0954,6.784514496711779
20070423,118.9452,9.0475,6.4953337931409365
20070424,118.786,8.8285,6.721996353644421
20070425,119.7145,9.7086,9.198724319980471
20070426,120.038,10.0094,9.58829116642653
20070427,119.9262,9.8535,8.453500641801597
20070430,119.2912,8.9739,7.360404962705189
20070501,119.289,8.9708,7.852969180116865
20070502,119.956,9.6069,7.6894029632800525
20070503,120.404,10.0274,7.595606902793357
20070504,121.0488,10.6232,8.203946756088634
20070507,121.1958,10.758,8.68882548898415
20070508,120.9165,10.3617,8.374462738271575
20070509,121.4968,10.897,8.632047243872051
20070510,120.289,9.2157,7.292927519980161
20070511,120.8845,9.7689,7.5961500437987794
20070514,120.8245,9.6865,6.820272659274757
20070515,120.9888,9.8396,7.32930113290913
20070516,121.4342,10.2531,8.095260210366533
20070517,121.5512,10.3614,8.285941311889474
20070518,122.3282,11.0727,8.859946453570451
20070521,122.5545,11.2771,9.570973018599034
20070522,122.4802,11.1706,10.283661486201801
20070523,122.5545,11.2386,10.068307826113788
20070524,121.631,9.9198,8.116181984672465
20070525,121.7282,10.0114,8.30851390594578
20070529,122.0815,10.344,9.152825013798434
20070530,122.7862,10.9976,10.039091260654857
20070531,123.1392,11.3201,10.394350848616035
20070601,123.6302,11.7644,11.633669485683164
20070604,123.6302,11.7644,11.44124434417531
20070605,123.152,11.0673,10.773723203730071
20070606,122.072,9.5347,9.25018971033262
20070607,120.3415,7.2108,6.5131996485745205
20070608,120.8918,7.7406,6.413120475575489
20070611,121.4618,8.2811,6.869480491192043
20070612,120.4762,7.0077,5.6911250458228295
20070613,121.5115,7.9819,6.9822850311585185
20070614,122.5695,8.9422,7.776653769079779
20070615,122.9528,9.2827,8.416186085436905
20070618,122.7612,9.0356,8.038255555189949
20070619,122.866,9.1298,7.447886390276068
20070620,121.7808,7.7412,7.20022005325449
20070621,121.6685,7.5999,7.5308426252800515
20070622,120.9315,6.6799,6.681598926383153
20070625,120.391,6.0171,5.754028820103677
20070626,119.4455,4.8831,4.1283089662890475
20070627,120.2598,5.6639,4.19686639887469
20070628,120.7575,6.1326,4.424726768027277
20070629,120.7202,6.0878,4.371985185786464
20070702,121.6485,6.9531,5.152926508338268
20070703,122.226,7.4796,5.433799350141548
20070705,122.1112,7.3388,5.5056797659428796
20070706,122.612,7.7944,6.524053088124887
20070709,122.7988,7.9635,7.2071272253600185
20070710,121.452,6.3197,5.125910799899543
20070711,121.7082,6.5565,4.699365370314133
20070712,123.5828,8.2297,6.0917855614362395
20070713,124.322,8.8608,6.782200354193442
20070716,124.3592,8.8924,6.828773043921956
20070717,124.4438,8.9647,6.72932472794195
20070718,123.8138,8.1943,6.088791747943944
20070719,124.496,8.7834,7.075947787858709
20070720,123.3165,7.3717,5.893422696654326
20070723,123.6075,7.6253,10.122001635907274
20070724,121.947,5.7149,8.05588772326626
20070725,121.5712,5.2959,8.388023905449352
20070726,119.025,2.5887,6.486355362178088
20070727,117.2202,0.8078,5.707469001939671
20070730,117.9795,1.5056,5.431736940935394
20070731,117.5688,1.1094,4.754990862439506
20070801,117.1552,0.7127,3.7487006460388486
20070802,118.034,1.5205,4.4175760437486105
20070803,116.0575,-0.3289,2.508528315444316
20070806,116.7423,0.2954,4.567235976472183
20070807,118.3502,1.7163,5.926451974434741
20070808,119.9232,3.0427,6.624456681026402
20070809,117.377,0.7626,4.815998166236575
20070810,116.1845,-0.2491,3.1347610491513933
20070813,116.874,0.3291,3.114927129957273
20070814,115.3482,-0.9328,0.587075457872352
20070815,113.8148,-2.1508,-0.9007097547738425
20070816,113.1998,-2.6271,-1.5048797409746157
20070817,116.2045,-0.1626,1.064311096891899
20070820,115.9858,-0.3336,0.9989699422822582
20070821,116.381,-0.0203,1.9098515943048398
20070822,117.4692,0.8309,2.629566156018079
20070823,117.6432,0.9656,2.7950207448805457
20070824,118.6342,1.7268,3.444191857956305
20070827,118.1788,1.3567,2.160532962239877
20070828,115.8065,-0.5064,0.31332512848084804
20070829,117.1405,0.5133,1.0337222670630197
20070830,117.3545,0.6747,0.9950421649616032
20070831,118.4945,1.5253,1.7033944409756927
20070904,119.5128,2.2679,2.6426137736469215
20070905,118.587,1.5427,1.818077353811553
20070906,118.7838,1.6866,1.601037525713501
20070907,117.2502,0.5059,-0.2525861344370526
20070910,116.9068,0.2462,-0.7811363229475319
20070911,118.1488,1.1634,0.00023188985345967694
20070912,118.6262,1.5105,0.38714451485660106
20070913,119.4805,2.1254,0.34030652430910635
20070914,119.3188,1.9993,0.24832598210236512
20070917,118.9255,1.6921,0.09019364506759331
20070918,121.499,3.5075,1.1787338148248026
20070919,123.1745,4.6288,2.017772479866707
20070920,122.4252,4.0401,1.5814721818147532
20070921,122.1638,3.8355,1.8305452366341157
20070924,121.9222,3.6461,1.6728718289138556
20070925,121.3945,3.2327,0.9129210138661961
20070926,122.1162,3.7253,1.0914722573793938
20070927,122.7012,4.121,1.0534550405553489
20070928,122.4625,3.9309,0.8022513144151304
20071001,123.5725,4.6784,1.6746310763180716
20071002,123.7372,4.7884,1.4152536587712632
20071003,123.4035,4.5177,1.985702045068308
20071004,123.59,4.6442,1.7371107576340634
20071005,124.9022,5.5234,2.5829552751277376
20071008,124.469,5.1668,2.1873908433507836
20071009,125.3098,5.7242,2.432091101820191
20071010,125.2728,5.6934,2.3326835830819306
20071011,125.019,5.4811,1.6962244620689972
20071012,125.263,5.6453,1.7101857003697347
20071015,124.4715,4.9808,1.2398431462198118
20071016,123.9088,4.5132,0.8379809831636535
20071017,123.6298,4.282,1.2502889960989094
20071018,123.341,4.0424,1.0060193578344467
20071019,121.5015,2.5499,-0.3671627063278251
20071022,120.486,1.7528,-1.411969152307151
20071023,121.539,2.5073,-0.9631706728285963
20071024,120.9318,2.0333,-1.636553462005459
20071025,121.5665,2.4862,-1.2354025089098855
20071026,122.9575,3.4588,-0.10717520474826614
20071029,123.6675,3.9449,0.9561627853897434
20071030,122.9478,3.3741,1.5695239724806669
20071031,123.884,4.0134,1.8042085327746662
